============================================================
当前配置
============================================================
环境: BipedalWalker-v3
种群大小: 50
训练代数: 100
变异率: 0.2
交叉率: 0.7
精英比例: 0.04
神经网络结构: 输入 → 16 → 16 → 输出
每集最大步数: 500
============================================================

开始时间: 2025-11-28 19:10:03
视频保存频率: 每 999999 代

初始化环境...
/opt/anaconda3/envs/ga-humanoid/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
✓ 成功加载 BipedalWalker-v3
观察空间: 24维, 动作空间: 4维

网络参数数量: 740

使用标准遗传算法（固定高变异率：0.2）
============================================================
开始训练（无实时渲染，速度更快）
============================================================


[Gen 1/100] Eval: 10/50... Eval: 20/50... Eval: 30/50... Eval: 40/50... Eval: 50/50... NEW RECORD! Best: 3.69, Mean: -80.10, Std: 36.58 | Recording video... OK (terrain seed=470590, reward: 3.7, steps: 500) | Time: 5.1s

[Gen 2/100] Eval: 10/50... Eval: 20/50... Eval: 30/50... Eval: 40/50... Eval: 50/50... Best: 2.60, Mean: -67.65, Std: 47.40 | Time: 1.9s

[Gen 3/100] Eval: 10/50... Eval: 20/50... Eval: 30/50... Eval: 40/50... Eval: 50/50... Best: 2.76, Mean: -73.98, Std: 44.68 | Time: 1.7s

[Gen 4/100] Eval: 10/50... Eval: 20/50... Eval: 30/50... Eval: 40/50... Eval: 50/50... Best: 3.04, Mean: -81.33, Std: 41.98 | Time: 1.6s

[Gen 5/100] Eval: 10/50... Eval: 20/50... Eval: 30/50... Eval: 40/50... Eval: 50/50... Best: 3.61, Mean: -79.11, Std: 39.66 | Time: 1.8s

[Gen 6/100] Eval: 10/50... Eval: 20/50... Eval: 30/50... Eval: 40/50... Eval: 50/50... Best: 3.27, Mean: -76.61, Std: 43.45 | Time: 2.0s

[Gen 7/100] Eval: 10/50... Eval: 20/50... Eval: 30/50... Eval: 40/50... Eval: 50/50... Best: 2.87, Mean: -73.55, Std: 41.29 | Time: 2.0s

[Gen 8/100] Eval: 10/50... Eval: 20/50... Eval: 30/50... Eval: 40/50... Eval: 50/50... Best: 3.29, Mean: -80.96, Std: 40.99 | Time: 1.7s

[Gen 9/100] Eval: 10/50... Eval: 20/50... Eval: 30/50... Eval: 40/50... Eval: 50/50... Best: 3.08, Mean: -82.90, Std: 38.58 | Time: 1.6s

[Gen 10/100] Eval: 10/50... Eval: 20/50... Eval: 30/50... Eval: 40/50... Eval: 50/50... Best: 3.27, Mean: -82.03, Std: 39.88 | Time: 1.6s

[Gen 11/100] Eval: 10/50... Eval: 20/50... Eval: 30/50... Eval: 40/50... Eval: 50/50... Best: 3.13, Mean: -82.58, Std: 39.36 | Time: 1.7s

[Gen 12/100] Eval: 10/50... Eval: 20/50... Eval: 30/50... Eval: 40/50... Eval: 50/50... Best: 3.01, Mean: -75.91, Std: 37.99 | Time: 1.9s

[Gen 13/100] Eval: 10/50... Eval: 20/50... Eval: 30/50... Eval: 40/50... Eval: 50/50... Best: 2.61, Mean: -76.36, Std: 42.74 | Time: 1.9s

[Gen 14/100] Eval: 10/50... Eval: 20/50... Eval: 30/50... Eval: 40/50... Eval: 50/50... Best: 3.03, Mean: -92.81, Std: 40.55 | Time: 1.5s

[Gen 15/100] Eval: 10/50... Eval: 20/50... Eval: 30/50... Eval: 40/50... Eval: 50/50... Best: 2.52, Mean: -82.68, Std: 38.45 | Time: 1.7s

[Gen 16/100] Eval: 10/50... Eval: 20/50... Eval: 30/50... Eval: 40/50... Eval: 50/50... Best: 3.28, Mean: -84.31, Std: 39.48 | Time: 1.7s

[Gen 17/100] Eval: 10/50... Eval: 20/50... Eval: 30/50... Eval: 40/50... Eval: 50/50... Best: 3.41, Mean: -87.43, Std: 35.80 | Time: 1.5s

[Gen 18/100] Eval: 10/50... Eval: 20/50... Eval: 30/50... Eval: 40/50... Eval: 50/50... Best: 2.81, Mean: -81.38, Std: 38.76 | Time: 1.8s

